taxonid,scientific_name,kingdom,phylum,class,order,family,genus,main_common_name,authority,published_year,category,criteria,marine_system,freshwater_system,terrestrial_system,assessor,reviewer,aoo_km2,eoo_km2,elevation_upper,elevation_lower,depth_upper,depth_lower,errata_flag,errata_reason,amended_flag,amended_reason,tax_sp_level
95317171,Eremospatha cuspidata,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARECALES,ARECACEAE,Eremospatha,Rattan,(G.Mann &amp; H.Wendl.) H.Wendl.,2016,LC,NA,FALSE,FALSE,TRUE,"Cosiaux, A., Gardiner, L.M. & Couvreur, T.","Bachman, S. & Baker, W.J.",100,3208475,1200,0,NA,NA,NA,NA,NA,NA,Eremospatha cuspidata
95317299,Eremospatha dransfieldii,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARECALES,ARECACEAE,Eremospatha,Rattan,Sunderl.,2016,EN,B2ab(iii),FALSE,FALSE,TRUE,"Cosiaux, A., Gardiner, L.M. & Couvreur, T.","Baker, W.J. & Bachman, S.",40,251334,200,100,NA,NA,NA,NA,NA,NA,Eremospatha dransfieldii
95317318,Eremospatha haullevilleana,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARECALES,ARECACEAE,Eremospatha,Rattan,De Wild.,2017,LC,NA,FALSE,FALSE,TRUE,"Cosiaux, A., Gardiner, L.M. & Couvreur, T.L.P.","Baker, W.J.",480,3394456,1300,0,NA,NA,NA,NA,NA,NA,Eremospatha haullevilleana
195913,Borassus aethiopum,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARECALES,ARECACEAE,Borassus,Rhun Palm,Mart.,2016,LC,NA,FALSE,FALSE,TRUE,"Cosiaux, A., Gardiner, L.M. & Couvreur, T.","Bachman, S. & Baker, W.J.",536,14762390,1200,0,NA,NA,NA,NA,NA,NA,Borassus aethiopum
44392184,Eremospatha hookeri,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARECALES,ARECACEAE,Eremospatha,Rattan,(G.Mann &amp; H.Wendl.) H.Wendl,2017,LC,NA,FALSE,FALSE,TRUE,"Cosiaux, A., Gardiner, L.M. & Couvreur, T.L.P.","Baker, W.J.",180,1564667,200,0,NA,NA,NA,NA,NA,NA,Eremospatha hookeri
95317339,Eremospatha laurentii,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARECALES,ARECACEAE,Eremospatha,Rattan Palm,De Wild.,2017,LC,NA,FALSE,FALSE,TRUE,"Cosiaux, A., Gardiner, L.M. & Couvreur, T.L.P.","Baker, W.J.",240,3553966,800,0,NA,NA,NA,NA,NA,NA,Eremospatha laurentii
95317371,Eremospatha macrocarpa,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARECALES,ARECACEAE,Eremospatha,Rattan ,H.Wendl.,2017,LC,NA,FALSE,FALSE,TRUE,"Cosiaux, A., Gardiner, L.M. & Couvreur, T.L.P.","Baker, W.J.",552,4751542,1200,0,NA,NA,NA,NA,NA,NA,Eremospatha macrocarpa
95317421,Eremospatha quinquecostulata,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARECALES,ARECACEAE,Eremospatha,Rattan,Becc.,2017,LC,NA,FALSE,FALSE,TRUE,"Cosiaux, A., Gardiner, L.M. & Couvreur, T.L.P.","Baker, W.J.",36,166826,700,0,NA,NA,NA,NA,NA,NA,Eremospatha quinquecostulata
95317440,Eremospatha tessmanniana,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARECALES,ARECACEAE,Eremospatha,Rattan,Becc.,2017,LC,NA,FALSE,FALSE,TRUE,"Cosiaux, A., Gardiner, L.M. & Couvreur, T.L.P.","Baker, W.J.",20,226283,850,0,NA,NA,NA,NA,NA,NA,Eremospatha tessmanniana
95317459,Eremospatha wendlandiana,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARECALES,ARECACEAE,Eremospatha,Rattan,Dammer ex Becc.,2017,LC,NA,FALSE,FALSE,TRUE,"Cosiaux, A., Gardiner, L.M. & Couvreur, T.L.P.","Baker, W.J.",196,624645,600,0,NA,NA,NA,NA,NA,NA,Eremospatha wendlandiana
