tax_sp_level,N,N_human_impacted,N_mines,N_impacted_total,AOO_all,AOO_left,nbe_occ_protected_area,AOO_without_impact,AOO_decline,Category_code_CA
Aaronsohnia pubescens,1,0,0,0,4,0,0,4,0,LC or NT
Abelmoschus caillei,9,8,0,8,20,16,0,4,80,CR
Abildgaardia hygrophila,1,1,0,1,4,4,0,0,100,CR
Abildgaardia triflora,14,3,0,2,52,8,1,44,15.384615384615385,LC or NT
Abrus canescens,87,35,8,23,296,80,21,216,27.027027027027028,LC or NT
Abrus fruticulosus,198,56,6,53,716,188,31,528,26.256983240223462,LC or NT
Abrus gawenensis,2,0,0,0,8,0,0,8,0,LC or NT
Abrus precatorius,154,39,3,34,536,128,25,408,23.88059701492537,LC or NT
Abrus schimperi,2,0,1,1,8,4,0,4,50,EN
Abutilon anglosomaliae,5,0,0,0,20,0,0,20,0,LC or NT
Abutilon angulatum,20,4,0,4,80,16,1,64,20,LC or NT
Abutilon austro-africanum,3,0,0,0,12,0,0,12,0,LC or NT
Abutilon austroafricanum,2,0,0,0,8,0,0,8,0,LC or NT
Abutilon bidentatum,7,4,0,3,28,12,1,16,42.857142857142854,VU
Abutilon bussei,1,1,0,0,4,0,1,4,0,LC or NT
Abutilon dinteri,1,0,0,0,4,0,0,4,0,LC or NT
Abutilon engleranum,3,0,0,0,12,0,0,12,0,LC or NT
Abutilon figarianum,12,4,0,4,48,16,1,32,33.33333333333333,VU
Abutilon fruticosum,24,6,0,6,96,24,2,72,25,LC or NT
Abutilon grandiflorum,12,1,1,1,48,4,3,44,8.333333333333332,LC or NT
Abutilon grantii,1,0,0,0,4,0,0,4,0,LC or NT
Abutilon hirtum,14,5,1,4,56,16,2,40,28.57142857142857,LC or NT
Abutilon lauraster,6,2,1,1,20,4,1,16,20,LC or NT
Abutilon longicuspe,25,6,0,6,92,24,9,68,26.08695652173913,LC or NT
Abutilon mauritianum,99,34,1,27,376,104,17,272,27.659574468085108,LC or NT
Abutilon pannosum,19,NA,1,5,76,20,2,56,26.31578947368421,LC or NT
Abutilon pycnodon,1,0,0,0,4,0,0,4,0,LC or NT
Abutilon ramosum,10,6,0,6,40,24,1,16,60,EN
Abutilon sonneratianum,2,0,0,0,8,0,0,8,0,LC or NT
Abutilon wituense,1,0,0,0,4,0,0,4,0,LC or NT
Acacia abyssinica,72,17,2,19,256,76,18,180,29.6875,LC or NT
Acacia adenocalyx,44,1,2,3,152,12,15,140,7.894736842105263,LC or NT
Acacia amythethophylla,91,31,6,33,340,124,9,216,36.470588235294116,VU
Acacia ancistroclada,12,1,0,1,48,4,1,44,8.333333333333332,LC or NT
Acacia ankokib,11,0,0,0,36,0,0,36,0,LC or NT
Acacia antunesii,1,0,0,0,4,0,0,4,0,LC or NT
Acacia arenaria,4,0,0,0,16,0,1,16,0,LC or NT
Acacia asak,6,5,0,5,24,20,0,4,83.33333333333334,CR
Acacia ataxacantha,104,35,1,27,400,104,29,296,26,LC or NT
Acacia auriculiformis,12,2,1,3,48,12,1,36,25,LC or NT
Acacia bavazzanoi,2,0,0,0,8,0,0,8,0,LC or NT
Acacia borleae,4,0,0,0,16,0,0,16,0,LC or NT
Acacia brevispica,153,45,4,46,536,164,19,372,30.597014925373134,VU
Acacia burkei,12,1,0,1,48,4,0,44,8.333333333333332,LC or NT
Acacia burttii,11,6,2,5,44,20,4,24,45.45454545454545,VU
Acacia bussei,62,8,1,7,240,28,9,212,11.666666666666666,LC or NT
Acacia caffra,9,2,2,4,36,16,0,20,44.44444444444444,VU
Acacia cheilanthifolia,3,0,0,0,12,0,0,12,0,LC or NT
Acacia ciliolata,4,0,3,3,16,12,0,4,75,EN
Acacia circummarginata,16,7,0,6,60,20,3,40,33.33333333333333,VU
Acacia davyi,4,0,0,0,12,0,0,12,0,LC or NT
Acacia densispina,1,0,0,0,4,0,0,4,0,LC or NT
Acacia dolichocephala,20,12,0,12,68,44,0,24,64.70588235294117,EN
Acacia drepanolobium,83,22,1,21,320,84,10,236,26.25,LC or NT
Acacia dudgeonii,70,39,0,35,228,112,15,116,49.122807017543856,VU
Acacia edgeworthii,10,0,0,0,40,0,0,40,0,LC or NT
Acacia ehrenbergiana,13,5,0,4,52,16,1,36,30.76923076923077,VU
Acacia elatior,36,2,0,2,132,8,7,124,6.0606060606060606,LC or NT
Acacia erioloba,33,3,0,3,120,12,4,108,10,LC or NT
Acacia erubescens,26,4,0,4,100,16,4,84,16,LC or NT
Acacia erythrocalyx,16,13,0,12,48,32,2,16,66.66666666666666,EN
Acacia etbaica,119,28,3,29,408,104,8,304,25.49019607843137,LC or NT
Acacia exuvialis,2,1,0,0,8,0,2,8,0,LC or NT
Acacia fischeri,11,6,1,7,44,28,0,16,63.63636363636363,EN
Acacia fleckii,22,4,2,4,80,16,5,64,20,LC or NT
Acacia fumosa,4,0,0,0,8,0,0,8,0,LC or NT
Acacia galpinii,3,0,1,1,12,4,0,8,33.33333333333333,VU
Acacia gerrardii,180,54,1,49,684,188,25,496,27.485380116959064,LC or NT
Acacia goetzei,116,19,3,21,412,84,8,328,20.388349514563107,LC or NT
Acacia gourmaensis,26,12,0,11,100,40,4,60,40,VU
Acacia grandicornuta,3,0,0,0,8,0,1,8,0,LC or NT
Acacia haematoxylon,6,0,0,0,24,0,0,24,0,LC or NT
Acacia hamulosa,24,0,0,0,96,0,2,96,0,LC or NT
Acacia hebeclada,48,11,0,10,168,40,11,128,23.809523809523807,LC or NT
Acacia hecatophylla,11,2,0,2,44,8,0,36,18.181818181818183,LC or NT
Acacia hereroensis,1,0,0,0,4,0,0,4,0,LC or NT
Acacia hockii,286,84,7,84,1100,328,54,772,29.818181818181817,LC or NT
Acacia horrida,36,4,0,3,144,12,2,132,8.333333333333332,LC or NT
Acacia karroo,39,2,2,3,132,12,0,120,9.090909090909092,LC or NT
Acacia kirkii,80,14,2,9,292,32,20,260,10.95890410958904,LC or NT
Acacia kraussiana,9,0,1,1,36,4,0,32,11.11111111111111,LC or NT
Acacia laeta,43,5,0,2,168,8,5,160,4.761904761904762,LC or NT
Acacia lahai,63,38,0,34,240,132,14,108,55.00000000000001,EN
Acacia latistipulata,15,0,0,0,52,0,3,52,0,LC or NT
Acacia leucospira,9,0,0,0,28,0,0,28,0,LC or NT
Acacia luederitzii,16,0,0,0,64,0,2,64,0,LC or NT
Acacia lujae,34,4,1,4,108,16,0,92,14.814814814814813,LC or NT
Acacia macrostachya,41,28,0,28,160,104,0,56,65,EN
Acacia manubensis,1,0,0,0,4,0,0,4,0,LC or NT
Acacia mbuluensis,4,2,0,2,12,4,0,8,33.33333333333333,VU
Acacia mearnsii,29,10,1,11,116,44,4,72,37.93103448275862,VU
Acacia mellifera,196,33,3,29,728,112,23,616,15.384615384615385,LC or NT
Acacia montigena,48,3,0,3,164,12,10,152,7.317073170731707,LC or NT
Acacia nebrownii,16,0,0,0,64,0,2,64,0,LC or NT
Acacia negrii,23,22,0,22,84,80,0,4,95.23809523809523,CR
Acacia nigrescens,71,13,0,10,260,40,7,220,15.384615384615385,LC or NT
Acacia nilotica,374,NA,7,100,1280,300,35,980,23.4375,LC or NT
Acacia oerfota,53,16,1,16,204,64,4,140,31.372549019607842,VU
Acacia ogadensis,3,0,0,0,12,0,0,12,0,LC or NT
Acacia origena,2,1,0,1,8,4,0,4,50,EN
Acacia paolii,42,2,0,2,152,8,5,144,5.263157894736842,LC or NT
Acacia pentagona,100,28,6,18,328,64,35,264,19.51219512195122,LC or NT
Acacia permixta,3,0,0,0,8,0,0,8,0,LC or NT
Acacia persiciflora,33,10,1,10,124,36,1,88,29.03225806451613,LC or NT
Acacia petrensis,1,0,0,0,4,0,0,4,0,LC or NT
Acacia pilispina,23,6,0,5,92,20,4,72,21.73913043478261,LC or NT
Acacia polyacantha,275,69,7,68,992,248,33,744,25,LC or NT
Acacia prasinata,3,3,0,1,8,4,2,4,50,EN
Acacia pseudofistula,21,9,2,10,84,40,2,44,47.61904761904761,VU
Acacia pseudonigrescens,1,0,0,0,4,0,0,4,0,LC or NT
Acacia qandalensis,1,0,0,0,4,0,0,4,0,LC or NT
Acacia reficiens,18,1,1,1,68,4,1,64,5.88235294117647,LC or NT
Acacia rehmanniana,21,6,5,10,76,36,0,40,47.368421052631575,VU
Acacia retinodes,2,0,0,0,8,0,0,8,0,LC or NT
Acacia robusta,152,32,6,30,524,84,18,440,16.030534351145036,LC or NT
Acacia rovumae,14,0,1,1,56,4,3,52,7.142857142857142,LC or NT
