"","EOO","AOO","Nbe_unique_occ.","Nbe_subPop","Nbe_loc","Nbe_loc_PA","Category_CriteriaB","Category_code","Ratio_occ_within_PA","Category_AOO","Category_EOO"
"Aaronsohnia pubescens",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Abelmoschus caillei",41925,20,5,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Abildgaardia hygrophila",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Abildgaardia triflora",5238541,56,14,NA,"13","1","LC or NT","LC or NT B1a+B2a","7.1","LC or NT","LC or NT"
"Abrus canescens",7731560,296,74,NA,"70","10","LC or NT","LC or NT B1a+B2a","24.1","LC or NT","LC or NT"
"Abrus fruticulosus",19110745,720,193,NA,"171","22","LC or NT","LC or NT B1a+B2a","15.2","LC or NT","LC or NT"
"Abrus gawenensis",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Abrus precatorius",14044023,536,137,NA,"127","14","LC or NT","LC or NT B1a+B2a","16.2","LC or NT","LC or NT"
"Abrus schimperi",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Abutilon anglosomaliae",347589,20,5,NA,"5","0","EN","EN B2a","0","EN","LC or NT"
"Abutilon angulatum",9617783,80,20,NA,"19","1","LC or NT","LC or NT B1a+B2a","5","LC or NT","LC or NT"
"Abutilon austro-africanum",7430,12,3,NA,"3","0","EN","EN B2a","0","EN","VU"
"Abutilon austroafricanum",NA,8,2,NA,"2","0","EN","EN B2a","0","EN",NA
"Abutilon bidentatum",597073,28,7,NA,"7","1","VU","VU B2a","14.3","VU","LC or NT"
"Abutilon bussei",NA,4,1,NA,"1","1","LC or NT","LC or NT B2a","100","EN",NA
"Abutilon dinteri",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Abutilon engleranum",198686,12,3,NA,"3","0","EN","EN B2a","0","EN","LC or NT"
"Abutilon figarianum",473901,48,12,NA,"12","1","LC or NT","LC or NT B1a+B2a","8.3","LC or NT","LC or NT"
"Abutilon fruticosum",16009076,96,24,NA,"24","2","LC or NT","LC or NT B1a+B2a","8.3","LC or NT","LC or NT"
"Abutilon grandiflorum",5411419,48,12,NA,"12","3","LC or NT","LC or NT B1a+B2a","25","LC or NT","LC or NT"
"Abutilon grantii",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
"Abutilon hirtum",6599803,56,14,NA,"14","2","LC or NT","LC or NT B1a+B2a","14.3","LC or NT","LC or NT"
"Abutilon lauraster",366983,20,5,NA,"5","1","EN","EN B2a","16.7","EN","LC or NT"
"Abutilon longicuspe",1433798,92,25,NA,"20","6","LC or NT","LC or NT B1a+B2a","36","LC or NT","LC or NT"
"Abutilon mauritianum",13688956,376,94,NA,"92","13","LC or NT","LC or NT B1a+B2a","17.2","LC or NT","LC or NT"
"Abutilon pannosum",8680999,76,19,NA,"19","2","LC or NT","LC or NT B1a+B2a","10.5","LC or NT","LC or NT"
"Abutilon pycnodon",NA,4,1,NA,"1","0","CR","CR B2a","0","CR",NA
