tax_sp_level,nbe_occ_gbif,nbe_loc_gbif,list_continents_gbif
Eremospatha cuspidata,41,12,AFRICA
Eremospatha dransfieldii,5,4,AFRICA
Eremospatha haullevilleana,48,25,AFRICA
Borassus aethiopum,13,6,AFRICA
Eremospatha hookeri,11,6,AFRICA
Eremospatha laurentii,30,11,AFRICA
Eremospatha macrocarpa,5,NA,NA
Eremospatha quinquecostulata,7,4,AFRICA
Eremospatha tessmanniana,0,NA,NA
Eremospatha wendlandiana,37,11,AFRICA
Hyphaene compressa,4,2,AFRICA
Hyphaene coriacea,6,3,AFRICA
Borassus akeassii,0,NA,NA
Hyphaene guineensis,33,6,AFRICA
Hyphaene petersiana,7,4,AFRICA
Hyphaene thebaica,42,15,AFRICA
Calamus deerratus,41,15,AFRICA
Laccosperma acutiflorum,22,6,AFRICA
Laccosperma korupense,NA,NA,NA
Laccosperma laeve,1,1,
Laccosperma opacum,60,20,AFRICA
Laccosperma robustum,43,10,AFRICA
Laccosperma secundiflorum,100,28,AFRICA
Livistona carinensis,5,3,
Oncocalamus macrospathus,28,9,AFRICA
Oncocalamus mannii,64,11,AFRICA
Oncocalamus tuleyi,0,NA,NA
Oncocalamus wrightianus,0,NA,NA
Phoenix dactylifera,80,44,"OCEANIA, EUROPE, NORTH_AMERICA, SOUTH_AMERICA, AFRICA"
Phoenix reclinata,210,68,"AFRICA, SOUTH_AMERICA"
Podococcus acaulis,55,21,AFRICA
Podococcus barteri,104,40,AFRICA
Raphia farinifera,3,2,AFRICA
Raphia gentiliana,4,3,
Raphia hookeri,62,20,AFRICA
Raphia laurentii,16,7,AFRICA
Raphia mambillensis,0,NA,NA
Raphia monbuttorum,3,2,
Raphia palma-pinus,9,4,AFRICA
Raphia regalis,32,8,AFRICA
Raphia ruwenzorica,1,1,
Raphia sese,NA,NA,NA
Raphia sudanica,5,3,AFRICA
Raphia vinifera,5,3,AFRICA
Sclerosperma mannii,57,15,AFRICA
Sclerosperma profizianum,10,6,AFRICA
Sclerosperma walkeri,33,8,AFRICA
Dypsis pembana,0,NA,NA
Elaeis guineensis,50,31,"SOUTH_AMERICA, NORTH_AMERICA, AFRICA"
Eremospatha barendii,3,1,AFRICA
Eremospatha cabrae,21,11,AFRICA
Berlinia bracteosa,162,64,AFRICA
Berlinia confusa,248,64,AFRICA
Berlinia grandiflora,136,67,AFRICA
Berlinia auriculata,161,51,AFRICA
Berlinia craibiana,44,19,AFRICA
Berlinia phenacoa,14,5,AFRICA
Berlinia congolensis,69,24,AFRICA
Berlinia occidentalis,49,19,AFRICA
Berlinia bruneelii,60,26,AFRICA
Berlinia viridicans,17,6,AFRICA
Berlinia razzifera,9,3,AFRICA
Berlinia immaculata,26,8,AFRICA
Berlinia tomentella,82,24,AFRICA
Berlinia giorgii,15,11,AFRICA
Berlinia rabiensis,14,2,AFRICA
Berlinia coriacea,3,2,AFRICA
Berlinia korupensis,10,2,AFRICA
Anthonotha macrophylla,449,177,AFRICA
Berlinia sapinii,1,1,
Berlinia orientalis,1,1,AFRICA
Baikiaea insignis,209,87,AFRICA
Scorodophloeus zenkeri,207,102,AFRICA
Triumfetta likasiensis,29,12,AFRICA
Sopubia neptunii,29,7,AFRICA
Spermacoce pusilla,524,217,"AFRICA, ASIA, OCEANIA"
Brillantaisia owariensis,222,144,AFRICA
Polystachya poikilantha,30,14,AFRICA
Crotalaria graminicola,59,40,AFRICA
Polystachya gracilenta,22,6,AFRICA
Polystachya kermesina,21,7,AFRICA
Leptoderris brachyptera,69,34,AFRICA
Pentaclethra macrophylla,284,101,"SOUTH_AMERICA, AFRICA"
